"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","season","logarea","b_area"
"188",1,5,"sep","mon",90.9,126.5,686.5,7,21,42,2.2,0,7.3,"autoumn",1.98787434815435,1
"277",4,4,"dec","mon",85.4,25.4,349.7,2.6,4.6,21,8.5,0,17.85,"winter",2.88200350822565,1
"338",6,3,"sep","mon",91.6,108.4,764,6.2,23,34,2.2,0,56.04,"autoumn",4.02606572146881,1
"219",4,5,"sep","wed",92.9,133.3,699.6,9.2,19.4,19,1.3,0,31.72,"autoumn",3.45694739676665,1
"300",6,5,"jun","sat",53.4,71,233.8,0.4,10.6,90,2.7,0,0,"summer",NA,0
"76",9,9,"feb","thu",84.2,6.8,26.6,7.7,6.7,79,3.1,0,0,"winter",NA,0
"452",1,4,"aug","fri",90.5,196.8,649.9,16.3,11.8,88,4.9,0,9.71,"summer",2.27315628230323,1
"225",7,4,"sep","wed",90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71,"autoumn",3.62992531127027,1
"256",2,5,"aug","thu",87.5,77,694.8,5,22.3,46,4,0,0,"summer",NA,0
"456",3,4,"jul","mon",94.6,160,567.2,16.7,17.9,48,2.7,0,0,"summer",NA,0
"382",8,6,"aug","thu",90.7,194.1,643,6.8,16.2,63,2.7,0,16.33,"summer",2.79300390698237,1
"252",8,5,"aug","wed",93.1,157.3,666.7,13.5,24,36,3.1,0,0.24,"summer",-1.42711635564015,1
"394",2,4,"mar","tue",93.4,15,25.6,11.4,15.2,19,7.6,0,0,"spring",NA,0
"266",4,4,"aug","tue",93.7,102.2,550.3,14.6,22.1,54,7.6,0,0.79,"summer",-0.23572233352107,1
"124",3,4,"sep","tue",84.4,73.4,671.9,3.2,17.9,45,3.1,0,0,"autoumn",NA,0
"374",5,4,"aug","thu",94.8,222.4,698.6,13.9,20.3,42,2.7,0,0,"summer",NA,0
"171",5,4,"sep","wed",92.9,133.3,699.6,9.2,21.9,35,1.8,0,2.57,"autoumn",0.943905898907128,1
"319",6,5,"sep","thu",92.8,119,783.5,7.5,21.6,27,2.2,0,0,"autoumn",NA,0
"272",8,6,"aug","tue",92.1,152.6,658.2,14.3,20.1,58,4.5,0,9.27,"summer",2.22678337957776,1
"77",9,9,"feb","fri",86.6,13.2,43,5.3,15.7,43,3.1,0,0,"winter",NA,0
"517",6,3,"nov","tue",79.5,3,106.7,1.1,11.8,31,4.5,0,0,"autoumn",NA,0
"40",4,4,"mar","tue",88.1,25.7,67.6,3.8,14.1,43,2.7,0,0,"spring",NA,0
"372",3,4,"jul","wed",91.9,133.6,520.5,8,14.2,58,4,0,0,"summer",NA,0
"298",8,6,"jun","sun",90.4,89.5,290.8,6.4,15.4,45,2.2,0,0,"summer",NA,0
"101",3,4,"aug","sun",91.4,142.4,601.4,10.6,19.8,39,5.4,0,0,"summer",NA,0
"305",6,5,"may","sat",85.1,28,113.8,3.5,11.3,94,4.9,0,0,"spring",NA,0
"59",2,2,"feb","mon",84,9.3,34,2.1,13.9,40,5.4,0,0,"winter",NA,0
"236",8,6,"aug","sun",91.4,142.4,601.4,10.6,19.6,41,5.8,0,196.48,"summer",5.28056064495878,1
"187",8,6,"mar","sun",89.3,51.3,102.2,9.6,11.5,39,5.8,0,7.19,"spring",1.97269117173296,1
"211",4,4,"oct","sat",90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23,"autoumn",3.18759153482843,1
"425",8,6,"aug","sat",93.7,231.1,715.1,8.4,26.9,31,3.6,0,4.96,"summer",1.60140574073684,1
"484",8,6,"aug","sun",94.9,130.3,587.1,14.1,31,27,5.4,0,0,"summer",NA,0
"86",1,2,"sep","thu",92.9,137,706.4,9.2,21.5,15,0.9,0,0,"autoumn",NA,0
"121",3,4,"aug","mon",91.5,145.4,608.2,10.7,10.3,74,2.2,0,0,"summer",NA,0
"156",7,4,"aug","sun",94.8,108.3,647.1,17,16.4,47,1.3,0,1.56,"summer",0.444685821261446,1
"30",6,3,"sep","sun",93.5,149.3,728.6,8.1,22.8,39,3.6,0,0,"autoumn",NA,0
"205",5,6,"mar","sat",90.6,50.1,100.4,7.8,15.1,64,4,0,13.99,"spring",2.63834278867739,1
"46",5,6,"sep","wed",94.3,85.1,692.3,15.9,25.9,24,4,0,0,"autoumn",NA,0
"443",6,5,"apr","mon",87.9,24.9,41.6,3.7,10.9,64,3.1,0,3.35,"spring",1.20896034583698,1
"407",6,5,"sep","sat",87.1,291.3,860.6,4,17,67,4.9,0,3.95,"autoumn",1.37371557891303,1
"63",2,2,"aug","thu",93,75.3,466.6,7.7,18.8,35,4.9,0,0,"summer",NA,0
"143",8,6,"aug","fri",90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,"summer",-0.49429632181478,1
"35",6,3,"sep","mon",91.8,78.5,724.3,9.2,21.2,32,2.7,0,0,"autoumn",NA,0
"399",1,2,"aug","sat",93.7,231.1,715.1,8.4,25.9,32,3.1,0,0,"summer",NA,0
"360",1,4,"sep","fri",92.5,122,789.7,10.2,21.1,39,2.2,0,8.12,"autoumn",2.09433015417359,1
"469",6,5,"mar","thu",91.3,20.6,43.5,8.5,13.3,27,3.6,0,6.61,"spring",1.88858365386359,1
"141",2,5,"sep","mon",90.9,126.5,686.5,7,21.9,39,1.8,0,0.47,"autoumn",-0.755022584278033,1
"142",1,2,"aug","wed",95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55,"summer",-0.59783700075562,1
